trace,cache_size,assoc,block_size,reads,writes,read_miss,write_miss,replacements,read_miss_rate,write_miss_rate,total_miss_rate
trace files/078.swm256.din,8192,2,16,192459,9894,79,2082,1649,0.0410,21.0431,1.0679
trace files/078.swm256.din,8192,2,32,192459,9894,83,1050,877,0.0431,10.6125,0.5599
trace files/078.swm256.din,8192,2,64,192459,9894,67,527,466,0.0348,5.3265,0.2935
trace files/078.swm256.din,8192,2,128,192459,9894,80,281,297,0.0416,2.8401,0.1784
trace files/078.swm256.din,8192,4,16,192459,9894,56,2078,1622,0.0291,21.0026,1.0546
trace files/078.swm256.din,8192,4,32,192459,9894,44,1046,834,0.0229,10.5721,0.5387
trace files/078.swm256.din,8192,4,64,192459,9894,33,526,431,0.0171,5.3164,0.2762
trace files/078.swm256.din,8192,4,128,192459,9894,48,265,249,0.0249,2.6784,0.1547
trace files/078.swm256.din,8192,8,16,192459,9894,56,2078,1622,0.0291,21.0026,1.0546
trace files/078.swm256.din,8192,8,32,192459,9894,44,1046,834,0.0229,10.5721,0.5387
trace files/078.swm256.din,8192,8,64,192459,9894,33,526,431,0.0171,5.3164,0.2762
trace files/078.swm256.din,8192,8,128,192459,9894,24,265,225,0.0125,2.6784,0.1428
trace files/078.swm256.din,16384,1,16,192459,9894,147,2132,1255,0.0764,21.5484,1.1262
trace files/078.swm256.din,16384,1,32,192459,9894,160,1130,778,0.0831,11.4211,0.6375
trace files/078.swm256.din,16384,1,64,192459,9894,171,616,531,0.0889,6.2260,0.3889
trace files/078.swm256.din,16384,1,128,192459,9894,259,451,582,0.1346,4.5583,0.3509
trace files/078.swm256.din,16384,2,16,192459,9894,56,2078,1110,0.0291,21.0026,1.0546
trace files/078.swm256.din,16384,2,32,192459,9894,44,1046,578,0.0229,10.5721,0.5387
trace files/078.swm256.din,16384,2,64,192459,9894,33,526,303,0.0171,5.3164,0.2762
trace files/078.swm256.din,16384,2,128,192459,9894,40,265,177,0.0208,2.6784,0.1507
trace files/078.swm256.din,16384,4,16,192459,9894,56,2078,1110,0.0291,21.0026,1.0546
trace files/078.swm256.din,16384,4,32,192459,9894,44,1046,578,0.0229,10.5721,0.5387
trace files/078.swm256.din,16384,4,64,192459,9894,33,526,303,0.0171,5.3164,0.2762
trace files/078.swm256.din,16384,4,128,192459,9894,24,265,161,0.0125,2.6784,0.1428
trace files/078.swm256.din,16384,8,16,192459,9894,56,2078,1110,0.0291,21.0026,1.0546
trace files/078.swm256.din,16384,8,32,192459,9894,44,1046,578,0.0229,10.5721,0.5387
trace files/078.swm256.din,16384,8,64,192459,9894,33,526,303,0.0171,5.3164,0.2762
trace files/078.swm256.din,16384,8,128,192459,9894,24,265,161,0.0125,2.6784,0.1428
trace files/078.swm256.din,32768,1,16,192459,9894,93,2105,633,0.0483,21.2755,1.0862
trace files/078.swm256.din,32768,1,32,192459,9894,93,1088,389,0.0483,10.9966,0.5836
trace files/078.swm256.din,32768,1,64,192459,9894,82,571,250,0.0426,5.7712,0.3227
trace files/078.swm256.din,32768,1,128,192459,9894,121,358,274,0.0629,3.6184,0.2367
trace files/078.swm256.din,32768,2,16,192459,9894,56,2078,192,0.0291,21.0026,1.0546
trace files/078.swm256.din,32768,2,32,192459,9894,44,1046,116,0.0229,10.5721,0.5387
